vertId	computed saliency value 
0	0.0145583
1	0.0704195
2	0.0702453
3	0.0234533
4	0.104846
5	0.0766399
6	0.0263776
7	0.0180423
8	0.020513
9	0.0401992
10	0
11	0.0401992
12	0.082461
13	0.0208399
14	0.0846094
15	0.172379
16	0.0565536
17	0.127687
18	0.0247036
19	0.180752
20	0.173901
21	0.0490674
22	0.274924
23	0.260563
24	0.0865868
25	0.0436951
26	0.0475943
27	0.154263
28	0.0351102
29	0.122968
30	0.118643
31	0.131541
32	0.0435433
33	0.207002
34	0.13011
35	0.0813041
36	0.0599734
37	0.0522135
38	0.0767904
39	0.206746
40	0.00258249
41	0.204103
42	0.278274
43	0.280869
44	0.312088
45	0.0522716
46	0.0556808
47	0.0223059
48	0.0182104
49	0.0405495
50	0.0476683
51	0
52	0
53	0
54	0.183496
55	0.18337
56	0.195383
57	0.0418768
58	0.0520264
59	0.0349289
60	0.0460425
61	0.179092
62	0.188522
63	0
64	0
65	0
66	0.011712
67	0.0568339
68	0.055379
69	0.097361
70	0.021512
71	0.0848114
72	0.116877
73	0.124238
74	0.170429
75	0.247991
76	0.039242
77	0.213444
78	0.110384
79	0.0445923
80	0.120615
81	0.0358663
82	0.0287962
83	0.0257908
84	0.0305113
85	0.0228492
86	0.0287584
87	0.0874826
88	0.0507774
89	0.100779
90	0.145457
91	0.059106
92	0.173177
93	0.0133052
94	0.013195
95	0.0175892
96	0.0879791
97	0.0882852
98	0.0078767
99	0.203245
100	0.0530705
101	0.172165
102	0.147651
103	0
104	0.147651
105	0
106	0.0162945
107	0.0162945
108	0
109	0.00025041
110	0.00025041
111	0
112	0.0584353
113	0.0584353
114	0
115	0.00481229
116	0.00481229
117	0
118	0.0451686
119	0.0451686
120	0
121	0.00513496
122	0.00513496
123	0
124	0.0447213
125	0.0447213
126	0
127	0
128	0
129	0.0707034
130	0
131	0.0707034
132	0.144655
133	0
134	0.144655
135	0.0843515
136	0.171953
137	0.150582
138	0.186352
139	0.102666
140	0.270925
141	0.0446889
142	0.0641192
143	0.0712724
144	0.0917459
145	0.00245316
146	0.092297
147	0.0585655
148	0.120371
149	0.106646
150	0.161024
151	0.191028
152	0.173111
153	0
154	0.123547
155	0.123547
156	0.000320703
157	0.000320706
158	0
159	0.0111072
160	0
161	0.0111072
162	0.226618
163	0.0176557
164	0.207617
165	0.00876964
166	0
167	0.00876964
168	0
169	0.17236
170	0.17236
