vertId	computed saliency value 
0	0.0278354
1	0.0159238
2	0.00952954
3	3.03955e-09
4	1.82425e-08
5	1.34635e-08
6	3.10307e-09
7	2.23974e-09
8	2.41467e-09
9	4.65402e-09
10	0
11	4.65402e-09
12	1.0526e-08
13	2.64434e-09
14	1.04975e-08
15	3.131e-08
16	1.39441e-08
17	1.96719e-08
18	2.76537e-09
19	3.49222e-08
20	3.41598e-08
21	9.59573e-09
22	6.0094e-08
23	5.6381e-08
24	1.38334e-08
25	6.25615e-09
26	7.84696e-09
27	2.39535e-08
28	6.42809e-09
29	1.81363e-08
30	1.60063e-08
31	1.74446e-08
32	6.28593e-09
33	2.98208e-08
34	1.70992e-08
35	1.3757e-08
36	1.12111e-08
37	6.45149e-09
38	1.16363e-08
39	2.85327e-08
40	4.90585e-10
41	2.80836e-08
42	4.44177e-08
43	4.04245e-08
44	5.34789e-08
45	1.00082e-08
46	1.14173e-08
47	3.28714e-09
48	1.77489e-09
49	4.97566e-09
50	5.86874e-09
51	0
52	0
53	0
54	3.95512e-08
55	3.2057e-08
56	3.47947e-08
57	6.04315e-09
58	7.15184e-09
59	4.95336e-09
60	7.6007e-09
61	2.56363e-08
62	2.7204e-08
63	0
64	0
65	0
66	1.53931e-09
67	6.67345e-09
68	6.46857e-09
69	1.21345e-08
70	2.94883e-09
71	1.04411e-08
72	2.10258e-08
73	1.39845e-08
74	2.95156e-08
75	5.28819e-08
76	1.18335e-08
77	4.27651e-08
78	2.53103e-08
79	1.1176e-08
80	2.78626e-08
81	4.0788e-09
82	3.62253e-09
83	2.95057e-09
84	3.67985e-09
85	2.90644e-09
86	3.55206e-09
87	1.10787e-08
88	6.18074e-09
89	1.18726e-08
90	8.21674e-08
91	2.31057e-08
92	7.62403e-08
93	1.5404e-09
94	1.62304e-09
95	2.03579e-09
96	1.16356e-08
97	1.1956e-08
98	8.72664e-10
99	3.12067e-08
100	8.46236e-09
101	2.52937e-08
102	2.12274e-08
103	0
104	2.12274e-08
105	0
106	2.01983e-09
107	2.01983e-09
108	0
109	2.93922e-11
110	2.93922e-11
111	0
112	7.00806e-09
113	7.00806e-09
114	0
115	5.6902e-10
116	5.6902e-10
117	0
118	6.69895e-09
119	6.69895e-09
120	0
121	6.17708e-10
122	6.17708e-10
123	0
124	5.95609e-09
125	5.95609e-09
126	0
127	0
128	0
129	1.0283e-08
130	0
131	1.0283e-08
132	2.16762e-08
133	0
134	2.16762e-08
135	1.76799e-08
136	3.02387e-08
137	2.58577e-08
138	3.56879e-08
139	1.42503e-08
140	4.68524e-08
141	5.6744e-09
142	1.14322e-08
143	1.23477e-08
144	1.28979e-08
145	2.79771e-10
146	1.2898e-08
147	8.29142e-09
148	1.87482e-08
149	1.8319e-08
150	2.47556e-08
151	2.59081e-08
152	2.93812e-08
153	0
154	3.07278e-08
155	3.07278e-08
156	3.68096e-11
157	3.68099e-11
158	0
159	1.29481e-09
160	0
161	1.29481e-09
162	4.48585e-08
163	3.1072e-09
164	4.04423e-08
165	1.06338e-09
166	0
167	1.06338e-09
168	0
169	3.09861e-08
170	3.09861e-08
171	1.51165e-08
172	0
173	1.51165e-08
174	1.27136e-08
175	1.09847e-08
176	7.11932e-09
177	1.89418e-08
178	5.43554e-08
179	4.12019e-08
180	4.96686e-09
181	8.92387e-09
182	5.79921e-09
183	1.48953e-08
184	3.4266e-08
185	2.18707e-08
186	7.74657e-08
187	1.38849e-08
188	7.36484e-08
189	3.10493e-08
190	8.24147e-09
191	3.39312e-08
192	7.1211e-09
193	7.18933e-09
194	2.13097e-09
195	1.72716e-09
196	1.10422e-09
197	1.97761e-09
198	0
199	0
200	0
201	4.39977e-10
202	4.39977e-10
203	0
204	0
205	0
206	0
207	6.71503e-09
208	4.75175e-09
209	4.98386e-09
210	1.41839e-08
211	1.81866e-08
212	5.35388e-09
213	2.86216e-08
214	0
215	2.86216e-08
216	0
217	0
218	0
219	1.26372e-08
220	0
221	1.26372e-08
222	2.4958e-09
223	2.4958e-09
224	0
225	0
226	0
227	0
228	2.76489e-08
229	2.65654e-08
230	6.53139e-09
231	2.3249e-09
232	3.01714e-11
233	2.34134e-09
234	3.87598e-08
235	4.92667e-09
236	3.55893e-08
237	0
238	0
239	0
240	1.35874e-08
241	1.06006e-08
242	8.61642e-09
243	1.33298e-08
244	2.26279e-08
245	2.7465e-08
246	0
247	1.26728e-09
248	1.26728e-09
249	6.18771e-09
250	0
251	6.18771e-09
252	7.52605e-10
253	0
254	7.52605e-10
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	1.07919e-09
271	1.7114e-09
272	1.21627e-09
273	2.54596e-09
274	2.54596e-09
275	0
276	1.25944e-08
277	4.11969e-09
278	6.84844e-09
279	1.6782e-09
280	1.77025e-08
281	1.76851e-08
282	8.7376e-09
283	7.63049e-09
284	9.88679e-09
285	2.34429e-08
286	9.89757e-11
287	3.00064e-08
288	0
289	0
290	0
291	1.33194e-08
292	3.29559e-08
293	1.76948e-08
294	5.74658e-09
295	1.27403e-08
296	6.8145e-09
297	1.93807e-08
298	9.41735e-09
299	1.16987e-08
300	3.05497e-08
301	1.68381e-08
302	9.72438e-09
303	1.22637e-09
304	2.42252e-09
305	2.128e-09
306	9.81561e-09
307	9.88819e-09
308	3.13217e-10
309	4.37356e-09
310	9.93725e-09
311	6.35519e-09
312	9.86737e-09
313	4.03968e-09
314	7.92019e-09
315	2.8625e-09
316	1.55388e-09
317	2.9745e-09
318	2.28496e-09
319	6.67907e-09
320	3.77058e-09
321	1.33434e-07
322	1.54087e-08
323	1.31327e-07
324	0
325	0
326	0
327	0
328	0
329	0
330	1.53758e-09
331	3.52359e-09
332	2.04466e-09
333	3.94437e-09
334	4.42662e-09
335	8.21368e-09
336	6.91219e-09
337	5.8483e-08
338	5.95599e-08
339	0
340	0
341	0
342	4.56144e-08
343	8.70904e-09
344	5.34718e-08
345	5.82739e-09
346	9.76729e-09
347	4.46614e-09
348	3.61169e-09
349	2.73717e-09
350	4.56533e-09
351	2.528e-09
352	3.65242e-09
353	9.28592e-10
354	1.34069e-08
355	7.17934e-09
356	7.84478e-09
357	1.38867e-08
358	0
359	1.38867e-08
360	0
361	5.14989e-09
362	5.14989e-09
363	0
364	6.14413e-09
365	6.14413e-09
366	0
367	7.91233e-10
368	7.91233e-10
369	0
370	7.24511e-09
371	7.24512e-09
372	0
373	7.4428e-09
374	7.4428e-09
375	0
376	4.18915e-09
377	4.18915e-09
378	3.64301e-10
379	8.52038e-11
380	3.51124e-10
381	1.65859e-10
382	0
383	1.65859e-10
384	7.20738e-09
385	1.62666e-09
386	7.03786e-09
387	7.03835e-10
388	0
389	7.03835e-10
390	1.38654e-09
391	3.02822e-09
392	1.53537e-09
393	1.55095e-08
394	0
395	1.55095e-08
396	1.66462e-08
397	0
398	1.66462e-08
399	2.4108e-08
400	5.18279e-09
